2023-10-05 12:35:13 - PHP Notice:  Undefined variable: response in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 95
2023-10-05 12:59:13 - PHP Notice:  Undefined index: telephone in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 86
2023-10-05 13:09:25 - PHP Notice:  Undefined index: telephone in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 91
2023-10-05 13:20:43 - PHP Notice:  Undefined index: telephone in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 90
2023-10-05 13:50:19 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 296
2023-10-05 13:50:19 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 296
2023-10-05 13:51:09 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 296
2023-10-05 13:51:09 - PHP Notice:  Array to string conversion in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 296
2023-10-05 13:57:09 - PHP Notice:  Undefined variable: trading_point_id in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 102
2023-10-05 13:57:09 - PHP Notice:  Undefined variable: api_order_url in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 102
2023-10-05 13:57:09 - PHP Notice:  Undefined variable: response in /var/www/html/oc38/catalog/model/extension/shipping/qweqr.php on line 103
2023-10-05 14:49:20 - PHP Notice:  Undefined index: text_message in xdebug://debug-eval on line 1
2023-10-05 14:52:28 - PHP Notice:  Undefined index: text_message in xdebug://debug-eval on line 1
2023-10-05 15:23:47 - PHP Notice:  Undefined index: text_message in xdebug://debug-eval on line 1
2023-10-05 17:11:45 - PHP Warning:  strpos(): needle is not a string or an integer in /var/www/html/oc38/catalog/controller/checkout/success.php on line 12
2023-10-05 17:11:45 - PHP Warning:  strpos(): Empty needle in /var/www/html/oc38/catalog/controller/checkout/success.php on line 12
2023-10-05 17:11:45 - PHP Warning:  strpos(): Empty needle in /var/www/html/oc38/catalog/controller/checkout/success.php on line 12
2023-10-05 17:11:45 - PHP Warning:  strpos(): needle is not a string or an integer in /var/www/html/oc38/catalog/controller/checkout/success.php on line 12
2023-10-05 17:11:45 - PHP Warning:  strpos(): Empty needle in /var/www/html/oc38/catalog/controller/checkout/success.php on line 12
2023-10-05 17:11:45 - PHP Warning:  strpos(): Empty needle in /var/www/html/oc38/catalog/controller/checkout/success.php on line 12
2023-10-05 17:11:45 - PHP Warning:  strpos(): needle is not a string or an integer in /var/www/html/oc38/catalog/controller/checkout/success.php on line 12
2023-10-05 17:11:45 - PHP Warning:  strpos(): Empty needle in /var/www/html/oc38/catalog/controller/checkout/success.php on line 12
2023-10-05 17:11:45 - PHP Warning:  strpos(): Empty needle in /var/www/html/oc38/catalog/controller/checkout/success.php on line 12
2023-10-05 17:49:52 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-apVAf8o1KN/upload/admin/model/extension/shipping/qweqr.php,/var/www/html/oc38/admin/model/extension/shipping/qweqr.php): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 17:49:52 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-apVAf8o1KN/upload/admin/view/javascript/qweqr/autocomplete.min.js,/var/www/html/oc38/admin/view/javascript/qweqr/autocomplete.min.js): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 17:49:52 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-apVAf8o1KN/upload/admin/view/stylesheet/qweqr/autocomplete.min.css,/var/www/html/oc38/admin/view/stylesheet/qweqr/autocomplete.min.css): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 17:49:52 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-apVAf8o1KN/upload/catalog/controller/extension/shipping/qweqr.php,/var/www/html/oc38/catalog/controller/extension/shipping/qweqr.php): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 17:49:53 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-apVAf8o1KN/upload/catalog/view/theme/default/template/extension/shipping/qweqr.twig,/var/www/html/oc38/catalog/view/theme/default/template/extension/shipping/qweqr.twig): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 18:05:46 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-yctN9ifev1/upload/admin/model/extension/shipping/qweqr.php,/var/www/html/oc38/admin/model/extension/shipping/qweqr.php): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 18:05:46 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-yctN9ifev1/upload/admin/view/javascript/qweqr/autocomplete.min.js,/var/www/html/oc38/admin/view/javascript/qweqr/autocomplete.min.js): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 18:05:46 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-yctN9ifev1/upload/admin/view/stylesheet/qweqr/autocomplete.min.css,/var/www/html/oc38/admin/view/stylesheet/qweqr/autocomplete.min.css): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 18:05:46 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-yctN9ifev1/upload/catalog/controller/extension/shipping/qweqr.php,/var/www/html/oc38/catalog/controller/extension/shipping/qweqr.php): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 18:05:47 - PHP Warning:  rename(/var/www/html/oc38/system/storage/upload/tmp-yctN9ifev1/upload/catalog/view/theme/default/template/extension/shipping/qweqr.twig,/var/www/html/oc38/catalog/view/theme/default/template/extension/shipping/qweqr.twig): Permission denied in /var/www/html/oc38/system/storage/modification/admin/controller/marketplace/install.php on line 223
2023-10-05 18:16:21 - PHP Warning:  rmdir(/var/www/html/oc38/system/storage/cache/template): Directory not empty in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 276
2023-10-06 17:22:51 - PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/oc38/system/storage/modification/system/engine/loader.php on line 83
2023-10-06 17:23:53 - PHP Warning:  Invalid argument supplied for foreach() in /var/www/html/oc38/system/storage/modification/system/engine/loader.php on line 83
2023-10-08 3:03:47 - PHP Warning:  rmdir(/var/www/html/oc38/system/storage/cache/template): Directory not empty in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 276
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
2023-10-08 4:23:21 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 565
2023-10-08 4:23:21 - PHP Warning:  preg_replace(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 573
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
2023-10-08 4:23:21 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 565
2023-10-08 4:23:21 - PHP Warning:  preg_replace(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 573
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
2023-10-08 4:23:21 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 565
2023-10-08 4:23:21 - PHP Warning:  preg_replace(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 573
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
2023-10-08 4:23:21 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 565
2023-10-08 4:23:21 - PHP Warning:  preg_replace(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 573
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
2023-10-08 4:23:21 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 565
2023-10-08 4:23:21 - PHP Warning:  preg_replace(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 573
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
2023-10-08 4:23:21 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 565
2023-10-08 4:23:21 - PHP Warning:  preg_replace(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 573
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
2023-10-08 4:23:21 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 565
2023-10-08 4:23:21 - PHP Warning:  preg_replace(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 573
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
2023-10-08 4:23:21 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 565
2023-10-08 4:23:21 - PHP Warning:  preg_replace(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 573
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
2023-10-08 4:23:21 - PHP Notice:  Undefined offset: 0 in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 565
2023-10-08 4:23:21 - PHP Warning:  preg_replace(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 573
2023-10-08 4:23:21 - PHP Warning:  preg_match_all(): Unknown modifier '.' in /var/www/html/oc38/admin/controller/extension/modification/editor.php on line 559
